datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,calculated_aqi,temperature,humidity,wind_speed,precipitation,pressure,hour,dayofweek,month,dayofyear,weekofyear,season,temp_x_humidity,temp_x_pressure,wind_x_temp,aqi_lag_24hr,aqi_lag_48hr,aqi_lag_168hr,aqi_roll_avg_24hr,aqi_roll_avg_168hr,target_t_plus_1hr,target_t_plus_2hr,target_t_plus_3hr,target_t_plus_6hr,target_t_plus_12hr,target_t_plus_18hr,target_t_plus_24hr,target_daily_avg_t_plus_1day,target_daily_avg_t_plus_2day,target_daily_avg_t_plus_3day,target_daily_avg_t_plus_4day,target_daily_avg_t_plus_5day,target_daily_avg_t_plus_6day,target_daily_avg_t_plus_7day
2022-02-15 10:00:00,4.0,427.25,0.25,4.93,157.36,6.91,35.78,39.53,2.03,184.3529411764706,24.9,49.0,6.7,0.0,1014.3,10,1,2,46,7,Winter,1220.1,25256.07,166.82999999999998,159.10294117647058,146.48529411764707,142.27941176470588,103.67137254901962,91.49375525210084,173.8235294117647,159.10294117647058,88.69,85.48333333333333,101.36666666666666,175.73333333333335,144.3823529411765,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
2022-02-15 11:00:00,4.0,423.91,0.13,5.65,150.2,5.84,35.24,39.16,2.47,173.8235294117647,26.6,40.0,6.6,0.0,1013.1,11,1,2,46,7,Winter,1064.0,26948.460000000003,175.56,142.27941176470588,131.75,142.27941176470588,104.72345588235295,91.74419292717087,159.10294117647058,88.69,77.975,91.5,122.16666666666669,159.83333333333334,123.33823529411764,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
2022-02-15 12:00:00,4.0,427.25,0.03,7.37,140.19,5.3,34.7,38.92,3.04,159.10294117647058,28.0,35.0,3.9,0.0,1011.5,12,1,2,46,7,Winter,980.0,28322.0,109.2,125.44117647058825,102.30882352941175,131.75,106.03779411764707,91.93195553221288,88.69,77.975,85.6875,87.61666666666667,148.8,178.9,104.41176470588236,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
2022-02-15 13:00:00,4.0,720.98,0.0,34.62,88.69,6.79,38.63,45.87,8.23,88.69,28.5,33.0,3.8,0.0,1010.0,13,1,2,46,7,Winter,940.5,28785.0,108.3,97.27,77.1,89.41,107.44036764705884,92.0947706582633,77.975,85.6875,85.48333333333333,71.53,183.36666666666667,167.51470588235293,87.26,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
2022-02-15 14:00:00,4.0,1068.12,0.01,62.38,37.91,9.66,44.65,56.71,13.93,77.975,28.7,31.0,2.9,0.0,1008.6,14,1,2,46,7,Winter,889.6999999999999,28946.82,83.22999999999999,75.1,78.83333333333333,70.2625,107.08286764705883,92.0904849439776,85.6875,85.48333333333333,91.5,79.39,225.16666666666663,167.51470588235293,72.96,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
2022-02-15 15:00:00,4.0,1228.33,0.13,68.55,18.78,11.56,48.43,63.79,16.72,85.6875,28.6,30.0,1.0,0.0,1007.8,15,1,2,46,7,Winter,858.0,28823.08,28.6,62.23,80.53333333333333,70.2625,107.2026593137255,92.13639268207282,85.48333333333333,91.5,87.61666666666667,85.66666666666666,253.4,163.3088235294118,70.86666666666667,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
2022-02-15 16:00:00,5.0,1281.74,0.15,66.49,17.7,13.47,51.29,66.82,16.72,85.48333333333333,28.3,29.0,6.0,0.0,1007.5,16,1,2,46,7,Winter,820.7,28512.25,169.8,51.5,80.28333333333333,67.38333333333333,108.18005514705884,92.22820815826331,91.5,87.61666666666667,71.53,101.36666666666666,175.73333333333335,144.3823529411765,76.81666666666668,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
2022-02-15 17:00:00,5.0,1241.68,0.07,59.63,21.82,13.47,54.9,68.82,14.95,91.5,27.5,32.0,9.3,0.0,1008.1,17,1,2,46,7,Winter,880.0,27722.75,255.75000000000003,50.53333333333333,76.36666666666667,77.33333333333333,109.59602736928105,92.3359462535014,87.61666666666667,71.53,79.39,122.16666666666669,159.83333333333334,123.33823529411764,85.65,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
2022-02-15 18:00:00,5.0,1028.06,0.01,45.24,33.97,11.56,52.57,63.39,12.41,87.61666666666667,26.2,34.0,6.3,0.0,1008.8,18,1,2,46,7,Winter,890.8,26430.56,165.06,52.21666666666666,70.13333333333333,83.91666666666667,111.30297181372549,92.4202716503268,71.53,79.39,85.66666666666666,148.8,178.9,104.41176470588236,92.75,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
2022-02-15 19:00:00,4.0,554.08,0.0,17.65,71.53,10.13,40.94,49.68,7.54,71.53,25.7,37.0,10.6,0.0,1010.2,19,1,2,46,7,Winter,950.9,25962.14,272.42,75.82,65.8,83.55000000000001,112.7779718137255,92.44229545985061,79.39,85.66666666666666,101.36666666666666,183.36666666666667,167.51470588235293,87.26,104.33333333333331,152.15003267973856,112.18035947712418,109.98674836601306,163.76666666666665,151.99360613810742,162.3765522875817,93.93548202614379
